Municipios;Sexo;Periodo;Total
03024 Benejúzar;Total;1998;5.067
03024 Benejúzar;Total;1997;""
03024 Benejúzar;Total;1996;5.009
03025 Benferri;Total;2022;1.955
03025 Benferri;Total;2021;1.958
03025 Benferri;Total;2020;1.965
03025 Benferri;Total;2019;1.942
03025 Benferri;Total;2018;1.940
03025 Benferri;Total;2017;1.923
03025 Benferri;Total;2016;1.920
03025 Benferri;Total;2015;1.899
03025 Benferri;Total;2014;1.910
03025 Benferri;Total;2013;1.927
03025 Benferri;Total;2012;1.934
03025 Benferri;Total;2011;1.925
03025 Benferri;Total;2010;1.892
03025 Benferri;Total;2009;1.876
03025 Benferri;Total;2008;1.746
03025 Benferri;Total;2007;1.601
03025 Benferri;Total;2006;1.493
03025 Benferri;Total;2005;1.385
03025 Benferri;Total;2004;1.351
03025 Benferri;Total;2003;1.188
03025 Benferri;Total;2002;1.138
03025 Benferri;Total;2001;1.098
03025 Benferri;Total;2000;1.055
03025 Benferri;Total;1999;1.026
03025 Benferri;Total;1998;982
03025 Benferri;Total;1997;""
03025 Benferri;Total;1996;1.011
03026 Beniarbeig;Total;2022;2.267
03026 Beniarbeig;Total;2021;2.227
03026 Beniarbeig;Total;2020;2.159
03026 Beniarbeig;Total;2019;2.092
03026 Beniarbeig;Total;2018;1.983
03026 Beniarbeig;Total;2017;1.919
03026 Beniarbeig;Total;2016;1.917
03026 Beniarbeig;Total;2015;1.926
03026 Beniarbeig;Total;2014;1.859
03026 Beniarbeig;Total;2013;1.915
03026 Beniarbeig;Total;2012;1.902
03026 Beniarbeig;Total;2011;1.883
03026 Beniarbeig;Total;2010;1.888
03026 Beniarbeig;Total;2009;1.997
03026 Beniarbeig;Total;2008;1.889
03026 Beniarbeig;Total;2007;1.729
03026 Beniarbeig;Total;2006;1.615
03026 Beniarbeig;Total;2005;1.548
03026 Beniarbeig;Total;2004;1.455
